user_id,actual_movie_id,precision_at_k,recall_at_k,hit_rate_at_k,ndcg_at_k
1,102,0.0,0.0,0.0,0.0
2,281,0.0,0.0,0.0,0.0
3,181,0.0,0.0,0.0,0.0
4,11,0.0,0.0,0.0,0.0
5,395,0.1,1.0,1.0,0.43067655807339306
6,272,0.0,0.0,0.0,0.0
7,341,0.0,0.0,0.0,0.0
8,566,0.1,1.0,1.0,0.3333333333333333
9,483,0.0,0.0,0.0,0.0
10,340,0.0,0.0,0.0,0.0
11,274,0.0,0.0,0.0,0.0
12,238,0.0,0.0,0.0,0.0
13,916,0.0,0.0,0.0,0.0
14,269,0.1,1.0,1.0,0.6309297535714575
15,934,0.0,0.0,0.0,0.0
16,152,0.0,0.0,0.0,0.0
17,471,0.0,0.0,0.0,0.0
18,59,0.1,1.0,1.0,0.3562071871080222
19,210,0.0,0.0,0.0,0.0
20,204,0.0,0.0,0.0,0.0
21,769,0.1,1.0,1.0,0.3562071871080222
22,250,0.0,0.0,0.0,0.0
23,257,0.0,0.0,0.0,0.0
24,655,0.0,0.0,0.0,0.0
25,204,0.0,0.0,0.0,0.0
26,1012,0.0,0.0,0.0,0.0
27,286,0.0,0.0,0.0,0.0
28,323,0.0,0.0,0.0,0.0
29,180,0.0,0.0,0.0,0.0
30,678,0.0,0.0,0.0,0.0
31,611,0.0,0.0,0.0,0.0
32,122,0.0,0.0,0.0,0.0
33,348,0.0,0.0,0.0,0.0
34,899,0.0,0.0,0.0,0.0
35,937,0.0,0.0,0.0,0.0
36,261,0.0,0.0,0.0,0.0
37,1027,0.0,0.0,0.0,0.0
38,122,0.0,0.0,0.0,0.0
39,288,0.0,0.0,0.0,0.0
40,258,0.1,1.0,1.0,0.43067655807339306
41,430,0.0,0.0,0.0,0.0
42,834,0.0,0.0,0.0,0.0
43,1052,0.0,0.0,0.0,0.0
44,183,0.1,1.0,1.0,1.0
45,1061,0.0,0.0,0.0,0.0
46,125,0.0,0.0,0.0,0.0
47,1022,0.0,0.0,0.0,0.0
48,302,0.0,0.0,0.0,0.0
49,62,0.0,0.0,0.0,0.0
50,123,0.0,0.0,0.0,0.0
51,83,0.0,0.0,0.0,0.0
52,191,0.0,0.0,0.0,0.0
53,1087,0.0,0.0,0.0,0.0
54,298,0.1,1.0,1.0,0.6309297535714575
55,79,0.1,1.0,1.0,0.5
56,295,0.0,0.0,0.0,0.0
57,199,0.0,0.0,0.0,0.0
58,1069,0.0,0.0,0.0,0.0
59,323,0.0,0.0,0.0,0.0
60,272,0.0,0.0,0.0,0.0
61,243,0.0,0.0,0.0,0.0
62,167,0.0,0.0,0.0,0.0
63,300,0.0,0.0,0.0,0.0
64,227,0.1,1.0,1.0,0.43067655807339306
65,238,0.0,0.0,0.0,0.0
66,825,0.0,0.0,0.0,0.0
67,117,0.1,1.0,1.0,1.0
68,178,0.0,0.0,0.0,0.0
69,175,0.0,0.0,0.0,0.0
70,820,0.0,0.0,0.0,0.0
71,282,0.0,0.0,0.0,0.0
72,198,0.0,0.0,0.0,0.0
73,923,0.0,0.0,0.0,0.0
74,508,0.0,0.0,0.0,0.0
75,196,0.0,0.0,0.0,0.0
76,24,0.0,0.0,0.0,0.0
77,31,0.0,0.0,0.0,0.0
78,237,0.0,0.0,0.0,0.0
79,7,0.0,0.0,0.0,0.0
80,194,0.1,1.0,1.0,0.3562071871080222
81,3,0.0,0.0,0.0,0.0
82,678,0.0,0.0,0.0,0.0
83,407,0.0,0.0,0.0,0.0
84,385,0.0,0.0,0.0,0.0
85,316,0.0,0.0,0.0,0.0
86,683,0.0,0.0,0.0,0.0
87,1189,0.0,0.0,0.0,0.0
88,326,0.0,0.0,0.0,0.0
89,187,0.0,0.0,0.0,0.0
90,1136,0.0,0.0,0.0,0.0
91,230,0.0,0.0,0.0,0.0
92,748,0.0,0.0,0.0,0.0
93,412,0.0,0.0,0.0,0.0
94,690,0.0,0.0,0.0,0.0
95,395,0.0,0.0,0.0,0.0
96,1232,0.0,0.0,0.0,0.0
97,434,0.0,0.0,0.0,0.0
98,25,0.0,0.0,0.0,0.0
99,116,0.0,0.0,0.0,0.0
100,346,0.1,1.0,1.0,1.0
101,866,0.1,1.0,1.0,0.6309297535714575
102,1030,0.0,0.0,0.0,0.0
103,204,0.0,0.0,0.0,0.0
104,840,0.0,0.0,0.0,0.0
105,343,0.1,1.0,1.0,0.3333333333333333
106,313,0.0,0.0,0.0,0.0
107,325,0.0,0.0,0.0,0.0
108,931,0.0,0.0,0.0,0.0
109,452,0.0,0.0,0.0,0.0
110,1246,0.0,0.0,0.0,0.0
111,307,0.1,1.0,1.0,0.6309297535714575
112,903,0.0,0.0,0.0,0.0
113,975,0.0,0.0,0.0,0.0
114,180,0.1,1.0,1.0,0.2890648263178879
115,543,0.0,0.0,0.0,0.0
116,20,0.0,0.0,0.0,0.0
117,122,0.0,0.0,0.0,0.0
118,1079,0.0,0.0,0.0,0.0
119,338,0.0,0.0,0.0,0.0
120,118,0.1,1.0,1.0,0.43067655807339306
121,717,0.0,0.0,0.0,0.0
122,1044,0.0,0.0,0.0,0.0
123,13,0.0,0.0,0.0,0.0
124,209,0.0,0.0,0.0,0.0
125,1052,0.0,0.0,0.0,0.0
126,881,0.0,0.0,0.0,0.0
127,62,0.0,0.0,0.0,0.0
128,88,0.1,1.0,1.0,0.6309297535714575
129,323,0.0,0.0,0.0,0.0
130,669,0.0,0.0,0.0,0.0
131,536,0.0,0.0,0.0,0.0
132,664,0.0,0.0,0.0,0.0
133,343,0.0,0.0,0.0,0.0
134,1,0.0,0.0,0.0,0.0
135,38,0.0,0.0,0.0,0.0
136,525,0.0,0.0,0.0,0.0
137,892,0.0,0.0,0.0,0.0
138,602,0.0,0.0,0.0,0.0
139,127,0.0,0.0,0.0,0.0
140,880,0.0,0.0,0.0,0.0
141,1280,0.0,0.0,0.0,0.0
142,42,0.0,0.0,0.0,0.0
143,325,0.0,0.0,0.0,0.0
144,707,0.0,0.0,0.0,0.0
145,988,0.0,0.0,0.0,0.0
146,336,0.0,0.0,0.0,0.0
147,301,0.1,1.0,1.0,0.38685280723454163
148,993,0.0,0.0,0.0,0.0
149,337,0.0,0.0,0.0,0.0
150,325,0.0,0.0,0.0,0.0
151,322,0.0,0.0,0.0,0.0
152,319,0.0,0.0,0.0,0.0
153,258,0.0,0.0,0.0,0.0
154,187,0.1,1.0,1.0,0.3010299956639812
155,322,0.1,1.0,1.0,1.0
156,510,0.0,0.0,0.0,0.0
157,120,0.0,0.0,0.0,0.0
158,290,0.0,0.0,0.0,0.0
159,1025,0.0,0.0,0.0,0.0
160,325,0.0,0.0,0.0,0.0
161,118,0.0,0.0,0.0,0.0
162,710,0.0,0.0,0.0,0.0
163,288,0.0,0.0,0.0,0.0
164,934,0.0,0.0,0.0,0.0
165,432,0.0,0.0,0.0,0.0
166,894,0.0,0.0,0.0,0.0
167,530,0.0,0.0,0.0,0.0
168,931,0.0,0.0,0.0,0.0
169,443,0.0,0.0,0.0,0.0
170,749,0.0,0.0,0.0,0.0
171,344,0.0,0.0,0.0,0.0
172,1172,0.0,0.0,0.0,0.0
173,292,0.1,1.0,1.0,1.0
174,138,0.0,0.0,0.0,0.0
175,88,0.0,0.0,0.0,0.0
176,919,0.0,0.0,0.0,0.0
177,628,0.1,1.0,1.0,0.31546487678572877
178,682,0.0,0.0,0.0,0.0
179,271,0.0,0.0,0.0,0.0
180,98,0.0,0.0,0.0,0.0
181,277,0.1,1.0,1.0,1.0
182,150,0.0,0.0,0.0,0.0
183,222,0.1,1.0,1.0,1.0
184,488,0.0,0.0,0.0,0.0
185,287,0.0,0.0,0.0,0.0
186,98,0.0,0.0,0.0,0.0
187,462,0.0,0.0,0.0,0.0
188,455,0.0,0.0,0.0,0.0
189,150,0.0,0.0,0.0,0.0
190,826,0.0,0.0,0.0,0.0
191,86,0.0,0.0,0.0,0.0
192,1061,0.0,0.0,0.0,0.0
193,366,0.0,0.0,0.0,0.0
194,1207,0.0,0.0,0.0,0.0
195,421,0.0,0.0,0.0,0.0
196,110,0.0,0.0,0.0,0.0
197,554,0.1,1.0,1.0,0.6309297535714575
198,942,0.0,0.0,0.0,0.0
199,111,0.0,0.0,0.0,0.0
200,931,0.0,0.0,0.0,0.0
201,269,0.0,0.0,0.0,0.0
202,179,0.0,0.0,0.0,0.0
203,93,0.0,0.0,0.0,0.0
204,297,0.0,0.0,0.0,0.0
205,243,0.0,0.0,0.0,0.0
206,302,0.1,1.0,1.0,0.43067655807339306
207,302,0.0,0.0,0.0,0.0
208,86,0.0,0.0,0.0,0.0
209,258,0.0,0.0,0.0,0.0
210,105,0.0,0.0,0.0,0.0
211,117,0.0,0.0,0.0,0.0
212,511,0.0,0.0,0.0,0.0
213,31,0.0,0.0,0.0,0.0
214,98,0.1,1.0,1.0,1.0
